Model,MAE,MSE,R2
LinearRegression,82657.94605893594,10549721686.16417,0.9146454505137673
RobustRegression,199465.5595542933,61664910393.24952,0.5010881990728175
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.4470624986,10604968516.752438,0.9141984654201617
SGDRegressor,7.861129774126921e+17,6.958566874575792e+35,-5.629962176425856e+24
ANN,199184.90050867043,61432831454.97227,0.5029658782961355
RandomForest,97518.6287385904,14875049195.529778,0.879650557574886
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
